Nome,advisor,link_adv
Veronica van Heyningen,Walter Bodmer,https://en.wikipedia.org/wiki/Walter_Bodmer
Wilhelm Fiedler,August Ferdinand Möbius,https://en.wikipedia.org/wiki/August_Ferdinand_M%C3%B6bius
Wilhelm Fiedler,Wilhelm Gottlieb Hankel,https://en.wikipedia.org/wiki/Wilhelm_Gottlieb_Hankel
David Bohm,Robert Oppenheimer,https://en.wikipedia.org/wiki/Robert_Oppenheimer
Jeff Rosenthal,Persi Diaconis,https://en.wikipedia.org/wiki/Persi_Diaconis
Steve Alpern,Peter Lax,https://en.wikipedia.org/wiki/Peter_Lax
Richard Courant,David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
Melba Phillips,J. Robert Oppenheimer,https://en.wikipedia.org/wiki/J._Robert_Oppenheimer
"John William Strutt, 3rd Baron Rayleigh",Edward John Routh,https://en.wikipedia.org/wiki/Edward_John_Routh
"John William Strutt, 3rd Baron Rayleigh",Sir George Stokes,"https://en.wikipedia.org/wiki/Sir_George_Stokes,_1st_Baronet"
"John William Strutt, 3rd Baron Rayleigh",Lord Kelvin,"https://en.wikipedia.org/wiki/William_Thomson,_1st_Baron_Kelvin"
Melvin Schwartz,Jack Steinberger,https://en.wikipedia.org/wiki/Jack_Steinberger
J. J. Thomson,John Strutt (Rayleigh),"https://en.wikipedia.org/wiki/John_Strutt,_3rd_Baron_Rayleigh"
J. J. Thomson,Edward John Routh,https://en.wikipedia.org/wiki/Edward_John_Routh
Guillaume de l'Hôpital,Johann Bernoulli,https://en.wikipedia.org/wiki/Johann_Bernoulli
Heinrich Friedrich Weber,Ernst Abbe,https://en.wikipedia.org/wiki/Ernst_Abbe
Heinrich Friedrich Weber,Hermann von Helmholtz,https://en.wikipedia.org/wiki/Hermann_von_Helmholtz
Herman Otto Hartley,Adolf Hammerstein,https://en.wikipedia.org/w/index.php?title=Adolf_Hammerstein&action=edit&redlink=1
Herman Otto Hartley,John Wishart,https://en.wikipedia.org/wiki/John_Wishart_(statistician)
