Nome,student,link_std
Johann Bernoulli,Guillaume de l'Hôpital,https://en.wikipedia.org/wiki/Guillaume_de_l%27H%C3%B4pital
Eugene Wigner,John Bardeen,https://en.wikipedia.org/wiki/John_Bardeen
Eugene Wigner,Victor Frederick Weisskopf,https://en.wikipedia.org/wiki/Victor_Frederick_Weisskopf
Eugene Wigner,Marcos Moshinsky,https://en.wikipedia.org/wiki/Marcos_Moshinsky
Eugene Wigner,Abner Shimony,https://en.wikipedia.org/wiki/Abner_Shimony
Eugene Wigner,Edwin Thompson Jaynes,https://en.wikipedia.org/wiki/Edwin_Thompson_Jaynes
Eugene Wigner,Frederick Seitz,https://en.wikipedia.org/wiki/Frederick_Seitz
Eugene Wigner,Conyers Herring,https://en.wikipedia.org/wiki/Conyers_Herring
Eugene Wigner,Frederick Tappert,https://en.wikipedia.org/wiki/Fred_Tappert
Eugene Wigner,J O Hirschfelder,https://en.wikipedia.org/wiki/Joseph_O._Hirschfelder
David Hilbert,Wilhelm Ackermann,https://en.wikipedia.org/wiki/Wilhelm_Ackermann
David Hilbert,Heinrich Behmann,https://en.wikipedia.org/wiki/Heinrich_Behmann
David Hilbert,Felix Bernstein,https://en.wikipedia.org/wiki/Felix_Bernstein_(mathematician)
David Hilbert,Otto Blumenthal,https://en.wikipedia.org/wiki/Otto_Blumenthal
David Hilbert,Anne Bosworth,https://en.wikipedia.org/wiki/Anne_Bosworth
David Hilbert,Werner Boy,https://en.wikipedia.org/wiki/Werner_Boy
David Hilbert,Ugo Broggi,https://en.wikipedia.org/wiki/Ugo_Broggi
David Hilbert,Richard Courant,https://en.wikipedia.org/wiki/Richard_Courant
David Hilbert,Haskell Curry,https://en.wikipedia.org/wiki/Haskell_Curry
David Hilbert,Max Dehn,https://en.wikipedia.org/wiki/Max_Dehn
David Hilbert,Ludwig Föppl,https://en.wikipedia.org/wiki/Ludwig_F%C3%B6ppl
David Hilbert,Rudolf Fueter,https://en.wikipedia.org/wiki/Rudolf_Fueter
David Hilbert,Paul Funk,https://en.wikipedia.org/wiki/Paul_Funk
David Hilbert,Kurt Grelling,https://en.wikipedia.org/wiki/Kurt_Grelling
David Hilbert,Alfréd Haar,https://en.wikipedia.org/wiki/Alfr%C3%A9d_Haar
David Hilbert,Erich Hecke,https://en.wikipedia.org/wiki/Erich_Hecke
David Hilbert,Earle Hedrick,https://en.wikipedia.org/wiki/Earle_Raymond_Hedrick
David Hilbert,Ernst Hellinger,https://en.wikipedia.org/wiki/Ernst_Hellinger
David Hilbert,Wallie Hurwitz,https://en.wikipedia.org/wiki/Wallie_Abraham_Hurwitz
David Hilbert,Margarete Kahn,https://en.wikipedia.org/wiki/Margarete_Kahn
David Hilbert,Oliver Kellogg,https://en.wikipedia.org/wiki/Oliver_Dimon_Kellogg
David Hilbert,Hellmuth Kneser,https://en.wikipedia.org/wiki/Hellmuth_Kneser
David Hilbert,Robert König,https://en.wikipedia.org/wiki/Robert_K%C3%B6nig
David Hilbert,Emanuel Lasker,https://en.wikipedia.org/wiki/Emanuel_Lasker
David Hilbert,Klara Löbenstein,https://en.wikipedia.org/wiki/Klara_L%C3%B6benstein
David Hilbert,Charles Max Mason,https://en.wikipedia.org/wiki/Max_Mason
David Hilbert,Alexander Myller,https://en.wikipedia.org/wiki/Alexander_Myller
David Hilbert,Erhard Schmidt,https://en.wikipedia.org/wiki/Erhard_Schmidt
David Hilbert,Kurt Schütte,https://en.wikipedia.org/wiki/Kurt_Sch%C3%BCtte
David Hilbert,Andreas Speiser,https://en.wikipedia.org/wiki/Andreas_Speiser
David Hilbert,Hugo Steinhaus,https://en.wikipedia.org/wiki/Hugo_Steinhaus
David Hilbert,Gabriel Sudan,https://en.wikipedia.org/wiki/Gabriel_Sudan
David Hilbert,Teiji Takagi,https://en.wikipedia.org/wiki/Teiji_Takagi
David Hilbert,Hermann Weyl,https://en.wikipedia.org/wiki/Hermann_Weyl
David Hilbert,Ernst Zermelo,https://en.wikipedia.org/wiki/Ernst_Zermelo
David Hilbert,Edward Kasner,https://en.wikipedia.org/wiki/Edward_Kasner
David Hilbert,John von Neumann,https://en.wikipedia.org/wiki/John_von_Neumann
Alonzo Church,C. Anthony Anderson,https://en.wikipedia.org/wiki/C._Anthony_Anderson
Alonzo Church,Peter Andrews,https://en.wikipedia.org/wiki/Peter_Andrews_(mathematician)
Alonzo Church,George Alfred Barnard,https://en.wikipedia.org/wiki/George_Alfred_Barnard
Alonzo Church,William W. Boone,https://en.wikipedia.org/wiki/William_Boone_(mathematician)
Alonzo Church,Martin Davis,https://en.wikipedia.org/wiki/Martin_Davis_(mathematician)
Alonzo Church,William Easton,https://en.wikipedia.org/wiki/William_Bigelow_Easton
Alonzo Church,Alfred Foster,https://en.wikipedia.org/wiki/Alfred_Foster_(mathematician)
Alonzo Church,Leon Henkin,https://en.wikipedia.org/wiki/Leon_Henkin
Alonzo Church,John George Kemeny,https://en.wikipedia.org/wiki/John_George_Kemeny
Alonzo Church,Stephen Cole Kleene,https://en.wikipedia.org/wiki/Stephen_Cole_Kleene
Alonzo Church,Simon B. Kochen,https://en.wikipedia.org/wiki/Simon_B._Kochen
Alonzo Church,Maurice L'Abbé,https://en.wikipedia.org/wiki/Maurice_L%27Abb%C3%A9
Alonzo Church,Isaac Malitz,https://en.wikipedia.org/wiki/Isaac_Malitz
Alonzo Church,Gary R. Mar,https://en.wikipedia.org/wiki/Gary_R._Mar
Alonzo Church,Michael O. Rabin,https://en.wikipedia.org/wiki/Michael_O._Rabin
Alonzo Church,Nicholas Rescher,https://en.wikipedia.org/wiki/Nicholas_Rescher
Alonzo Church,"Hartley Rogers, Jr","https://en.wikipedia.org/wiki/Hartley_Rogers,_Jr"
Alonzo Church,J. Barkley Rosser,https://en.wikipedia.org/wiki/J._Barkley_Rosser
Alonzo Church,Dana Scott,https://en.wikipedia.org/wiki/Dana_Scott
Alonzo Church,Norman Shapiro,https://en.wikipedia.org/wiki/Norman_Shapiro
Alonzo Church,Raymond Smullyan,https://en.wikipedia.org/wiki/Raymond_Smullyan
Alonzo Church,Alan Turing,https://en.wikipedia.org/wiki/Alan_Turing
Oliver Dimon Kellogg,Arthur Herbert Copeland,https://en.wikipedia.org/wiki/Arthur_Herbert_Copeland
Max Dehn,Ott-Heinrich Keller,https://en.wikipedia.org/wiki/Ott-Heinrich_Keller
Max Dehn,Wilhelm Magnus,https://en.wikipedia.org/wiki/Wilhelm_Magnus
Max Dehn,Ruth Moufang,https://en.wikipedia.org/wiki/Ruth_Moufang
John D. Barrow,Peter Coles,https://en.wikipedia.org/wiki/Peter_Coles
John D. Barrow,David Wands,https://en.wikipedia.org/wiki/David_Wands
George Alfred Barnard,Dennis Lindley,https://en.wikipedia.org/wiki/Dennis_Lindley
George Alfred Barnard,K. D. Tocher,https://en.wikipedia.org/wiki/K._D._Tocher
George Alfred Barnard,Vidyadhar P. Godambe,https://en.wikipedia.org/wiki/Vidyadhar_P._Godambe
Gábor Szegő,Paul Rosenbloom,https://en.wikipedia.org/wiki/Paul_C._Rosenbloom
Gábor Szegő,Joseph Ullman,https://en.wikipedia.org/wiki/Joseph_Ullman
Joseph-Louis Lagrange,Joseph Fourier,https://en.wikipedia.org/wiki/Joseph_Fourier
Joseph-Louis Lagrange,Giovanni Plana,https://en.wikipedia.org/wiki/Giovanni_Plana
Joseph-Louis Lagrange,Siméon Poisson,https://en.wikipedia.org/wiki/Sim%C3%A9on_Denis_Poisson
Richard Becker (physicist),Herbert Kroemer,https://en.wikipedia.org/wiki/Herbert_Kroemer
Richard Becker (physicist),Egon Orowan,https://en.wikipedia.org/wiki/Egon_Orowan
Hellmuth Kneser,Reinhold Baer,https://en.wikipedia.org/wiki/Reinhold_Baer
Hellmuth Kneser,Wolfgang Walter,https://en.wikipedia.org/wiki/Wolfgang_Walter
Victor Weisskopf,J. Bruce French,https://en.wikipedia.org/wiki/J._Bruce_French
Victor Weisskopf,David H. Frisch,https://en.wikipedia.org/wiki/David_H._Frisch
Victor Weisskopf,Kerson Huang,https://en.wikipedia.org/wiki/Kerson_Huang
Victor Weisskopf,J. David Jackson,https://en.wikipedia.org/wiki/J._David_Jackson
Victor Weisskopf,Arthur Kerman,https://en.wikipedia.org/wiki/Arthur_Kerman
Victor Weisskopf,Murray Gell-Mann,https://en.wikipedia.org/wiki/Murray_Gell-Mann
Victor Weisskopf,Kurt Gottfried,https://en.wikipedia.org/wiki/Kurt_Gottfried
Victor Weisskopf,Raymond Stora,https://en.wikipedia.org/wiki/Raymond_Stora
Victor Weisskopf,Lawrence Biedenharn,https://en.wikipedia.org/wiki/Lawrence_Biedenharn
Israel Halperin,George Elliott,https://en.wikipedia.org/wiki/George_A._Elliott
Rudolf Fueter,Max Gut,https://en.wikipedia.org/wiki/Max_Gut
Rudolf Fueter,Verena Haefeli-Huber,https://en.wikipedia.org/wiki/Verena_Haefeli-Huber
Rudolf Fueter,Alexander Weinstein,https://en.wikipedia.org/wiki/Alexander_Weinstein
Hugo Steinhaus,Stefan Banach,https://en.wikipedia.org/wiki/Stefan_Banach
Hugo Steinhaus,Z. W. (Bill) Birnbaum,https://en.wikipedia.org/wiki/Z._W._Birnbaum
Hugo Steinhaus,Mark Kac,https://en.wikipedia.org/wiki/Mark_Kac
Hugo Steinhaus,Władysław Orlicz,https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_Orlicz
Hugo Steinhaus,Aleksander Rajchman,https://en.wikipedia.org/wiki/Aleksander_Rajchman
Hugo Steinhaus,Juliusz Schauder,https://en.wikipedia.org/wiki/Juliusz_Schauder
Hugo Steinhaus,Stanisław Trybula,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Trybu%C5%82a
Max Born,Mary Bradburn,https://en.wikipedia.org/wiki/Mary_Bradburn
Max Born,Kaijia Cheng,https://en.wikipedia.org/wiki/Cheng_Kaijia
Max Born,Max Delbrück,https://en.wikipedia.org/wiki/Max_Delbr%C3%BCck
Max Born,Walter Elsasser,https://en.wikipedia.org/wiki/Walter_Elsasser
Max Born,Siegfried Flügge,https://en.wikipedia.org/wiki/Siegfried_Fl%C3%BCgge
Max Born,Maria Goeppert-Mayer,https://en.wikipedia.org/wiki/Maria_Goeppert-Mayer
Max Born,Herbert S. Green,https://en.wikipedia.org/wiki/Herbert_S._Green
Max Born,Friedrich Hund,https://en.wikipedia.org/wiki/Friedrich_Hund
Max Born,Pascual Jordan,https://en.wikipedia.org/wiki/Pascual_Jordan
Max Born,Edgar Krahn,https://en.wikipedia.org/wiki/Edgar_Krahn
Max Born,J. Robert Oppenheimer,https://en.wikipedia.org/wiki/J._Robert_Oppenheimer
Max Born,Lothar Wolfgang Nordheim,https://en.wikipedia.org/wiki/Lothar_Wolfgang_Nordheim
Max Born,Huanwu Peng,https://en.wikipedia.org/wiki/Peng_Huanwu
Max Born,Maurice Pryce,https://en.wikipedia.org/wiki/Maurice_Pryce
Max Born,Carl Hermann,https://en.wikipedia.org/wiki/Carl_Hermann
Max Born,Bertha Swirles,https://en.wikipedia.org/wiki/Bertha_Swirles
Max Born,Victor Frederick Weisskopf,https://en.wikipedia.org/wiki/Victor_Frederick_Weisskopf
Max Born,Liming Yang,https://en.wikipedia.org/wiki/Yang_Liming
Max Born,Sheila Tinney,https://en.wikipedia.org/wiki/Sheila_Tinney
