Nome,Ano_Nasc,Pais,Campo_Principal,link
Kurt Schütte,1909.0,Born(1909-10-14)14 October 1909Salzwedel,Mathematics,https://en.wikipedia.org/wiki/Kurt_Sch%C3%BCtte
Dénes Kőnig,1884.0,Austria-Hungary,Mathematics,https://en.wikipedia.org/wiki/D%C3%A9nes_K%C5%91nig
Vidyadhar P. Godambe,1926.0,India,Mathematics,https://en.wikipedia.org/wiki/Vidyadhar_P._Godambe
Carl H. Hermann,1898.0,German Empire,Mathematics,https://en.wikipedia.org/wiki/Carl_Hermann
Marshall H. Stone,1903.0,U.S.,Real analysis,https://en.wikipedia.org/wiki/Marshall_Stone
Johann Samuel König,1712.0,Born(1712-07-31)31 July 1712Büdingen,Mathematics,https://en.wikipedia.org/wiki/Johann_Samuel_K%C3%B6nig
Lothar Wolfgang Nordheim,1899.0,Germany,Statistical physics,https://en.wikipedia.org/wiki/Lothar_Wolfgang_Nordheim
André-Louis Debierne,1874.0,France,Statistical physics,https://en.wikipedia.org/wiki/Andr%C3%A9-Louis_Debierne
Maurice L'Abbé,1920.0,Canada,Statistical physics,https://en.wikipedia.org/wiki/Maurice_L%27Abb%C3%A9
Michel Loève,1907.0,Ottoman Syria,Mathematics,https://en.wikipedia.org/wiki/Michel_Lo%C3%A8ve
Burton Wendroff,1930.0,Born (1930-03-10) 10 March 1930 (age 93),Applied Mathematics,https://en.wikipedia.org/wiki/Burton_Wendroff
Margarethe Kahn,1880.0,German Empire,Mathematics,https://en.wikipedia.org/wiki/Margarete_Kahn
Beatrice Worsley,1921.0,Mexico,Computer science,https://en.wikipedia.org/wiki/Beatrice_Worsley
Michael Fekete,1886.0,Serbia),Mathematics,https://en.wikipedia.org/wiki/Michael_Fekete
Peter Coles,1963.0,Born4 June 1963  (age 60),Cosmology,https://en.wikipedia.org/wiki/Peter_Coles
Kurt Otto Friedrichs,1901.0,German Empire,Applied mathematics,https://en.wikipedia.org/wiki/Kurt_O._Friedrichs
Geoffrey Chew,1924.0,United States,Theoretical physics,https://en.wikipedia.org/wiki/Geoffrey_Chew
Alexander Pruss,1973.0,1973 (age 50),Theoretical physics,https://en.wikipedia.org/wiki/Alexander_Pruss
Edward Leamington Nichols,1854.0,England,Physics,https://en.wikipedia.org/wiki/Edward_Leamington_Nichols
