Nome,Ano_Nasc,Pais,Campo_Principal,link
Steven Shavell,1905.0,1905Stavropol,Mathematics,https://en.wikipedia.org/wiki/Steven_Shavell
Hermann Flaschka,1945.0,Austria,Mathematics,https://en.wikipedia.org/wiki/Hermann_Flaschka
Christoph Gudermann,1798.0,Holy Roman Empire,Mathematician,https://en.wikipedia.org/wiki/Christoph_Gudermann
Georges Reeb,1920.0,France,Mathematics,https://en.wikipedia.org/wiki/Georges_Reeb
Richard Löwenthal,1908.0,German Empire,Mathematics,https://en.wikipedia.org/wiki/Richard_L%C3%B6wenthal
Mani Lal Bhaumik,1931.0,India,Physics,https://en.wikipedia.org/wiki/Mani_Lal_Bhaumik
Robert MacPherson (mathematician),1944.0,Ohio,Mathematics,https://en.wikipedia.org/wiki/Robert_MacPherson_(mathematician)
William Browder (mathematician),1934.0,US,Mathematics,https://en.wikipedia.org/wiki/William_Browder_(mathematician)
Jonathan Katz (computer scientist),,BornUSA,Cryptography,https://en.wikipedia.org/wiki/Jonathan_Katz_(computer_scientist)
Nancy K. Stanton,,BornUSA,Mathematics,https://en.wikipedia.org/wiki/Nancy_K._Stanton
Alan Sherman,1957.0,1957 (age 66),Computer security,https://en.wikipedia.org/wiki/Alan_Sherman
Frank Speck,1881.0,US,anthropology,https://en.wikipedia.org/wiki/Frank_Speck
Diederik Korteweg,1848.0,Born(1848-03-31)31 March 1848Den Bosch,Mathematics,https://en.wikipedia.org/wiki/Diederik_Johannes_Korteweg
Andrei Okounkov,1969.0,Soviet Union,Mathematics,https://en.wikipedia.org/wiki/Andrei_Okounkov
Hongkun Park,1967.0,South Korea,Chemistry,https://en.wikipedia.org/wiki/Hongkun_Park
Ernest C. Pollard,1906.0,China,Chemistry,https://en.wikipedia.org/wiki/Ernest_C._Pollard
David J. Thouless,1934.0,Scotland,Condensed matter physics,https://en.wikipedia.org/wiki/David_Thouless
Marcel Minnaert,1893.0,Belgium,Astronomy,https://en.wikipedia.org/wiki/Marcel_Minnaert
Charles C. Steidel,1962.0,US,astronomy,https://en.wikipedia.org/wiki/Charles_C._Steidel
Peter M. Rentzepis,1934.0,Greece,Physical chemistry,https://en.wikipedia.org/wiki/Peter_M._Rentzepis
Jonathan Gruber (economist),1965.0,1965 (age 57),Physical chemistry,https://en.wikipedia.org/wiki/Jonathan_Gruber_(economist)
Simon Patten,1852.0,US,Physical chemistry,https://en.wikipedia.org/wiki/Simon_Patten
Ernest L. Bogart,1870.0,1870,Physical chemistry,https://en.wikipedia.org/wiki/Ernest_L._Bogart
Halsey Royden,1928.0,USA,Physical chemistry,https://en.wikipedia.org/wiki/Halsey_Royden
James Higginbotham,1941.0,Tennessee,Physical chemistry,https://en.wikipedia.org/wiki/James_Higginbotham
Jakob Thomasius,1622.0,Electorate of Saxony,Philosopher,https://en.wikipedia.org/wiki/Jakob_Thomasius
Daniel Kan,1927.0,Netherlands,Mathematics,https://en.wikipedia.org/wiki/Daniel_Kan
Thomas J. Sargent,1943.0,,Mathematics,https://en.wikipedia.org/wiki/Tom_Sargent
Dianne P. O'Leary,1951.0,Illinois,Applied mathematics,https://en.wikipedia.org/wiki/Dianne_O%27Leary
Don Craig Wiley,1944.0,U.S.,Applied mathematics,https://en.wikipedia.org/wiki/Don_Wiley
Mischa Schwartz,1926.0,1926 (age 96),Electrical engineering,https://en.wikipedia.org/wiki/Mischa_Schwartz
John G. Thompson,1932.0,U.S.,Group theory,https://en.wikipedia.org/wiki/John_Griggs_Thompson
Allyn Abbott Young,1876.0,US,Group theory,https://en.wikipedia.org/wiki/Allyn_Abbott_Young
Vladimir Lazić,1876.0,US,Group theory,https://en.wikipedia.org/wiki/Vladimir_Lazi%C4%87
Francis F. Chen,1929.0,Republic of China,Plasma physics,https://en.wikipedia.org/wiki/Francis_F._Chen
Jean-Pierre Bourguignon,1947.0,France,Mathematics,https://en.wikipedia.org/wiki/Jean-Pierre_Bourguignon
Hermann Carl Vogel,1841.0,Kingdom of Saxony,Astronomy,https://en.wikipedia.org/wiki/Hermann_Carl_Vogel
Dmitry Grave,1863.0,Russian Empire,Mathematics,https://en.wikipedia.org/wiki/Dmitry_Grave
Leonid Leibenson,1879.0,Born14 June 1879 (in Julian calendar) Kharkiv,Mathematics,https://en.wikipedia.org/wiki/Leonid_Leibenson
Fritz Carlson,1888.0,Sweden,Mathematics,https://en.wikipedia.org/wiki/Fritz_Carlson
Gunnar Nordström,1881.0,Finland,Physics,https://en.wikipedia.org/wiki/Gunnar_Nordstr%C3%B6m
Howard Jerome Keisler,1936.0,United States,Mathematics,https://en.wikipedia.org/wiki/Howard_Jerome_Keisler
Andrea Naccari,1841.0,Born12 August 1841Padua,Physicist,https://en.wikipedia.org/wiki/Andrea_Naccari
Frederick G. Donnan,1870.0,British Ceylon,Chemistry,https://en.wikipedia.org/wiki/Frederick_G._Donnan
Robert Remak (mathematician),1888.0,German Empire,Mathematics,https://en.wikipedia.org/wiki/Robert_Remak_(mathematician)
Randal Pinkett,1971.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Randal_Pinkett
John Alexander Simpson,1916.0,Oregon,physics,https://en.wikipedia.org/wiki/John_Alexander_Simpson
Bjarni Jónsson,1920.0,Iceland,Mathematics,https://en.wikipedia.org/wiki/Bjarni_J%C3%B3nsson
William Nierenberg,1919.0,US,Physics,https://en.wikipedia.org/wiki/William_Nierenberg
Ratan Lal Brahmachary,1932.0,British India (now in Bangladesh),Physics,https://en.wikipedia.org/wiki/Ratan_Lal_Brahmachary
Bhubaneswar Mishra,1961.0,India,Computer Science,https://en.wikipedia.org/wiki/Bhubaneswar_Mishra
Hu Shih,1891.0,Qing China,Computer Science,https://en.wikipedia.org/wiki/Hu_Shih
William Cook (computer scientist),1963.0,1963,Computer Science,https://en.wikipedia.org/wiki/William_Cook_(computer_scientist)
Benny Sudakov,1969.0,Georgian Soviet Socialist Republic,Mathematics,https://en.wikipedia.org/wiki/Benny_Sudakov
Gerald Harris Rosen,1933.0,New York,Mathematics,https://en.wikipedia.org/wiki/Gerald_Harris_Rosen
Jürg Fröhlich,1946.0,Switzerland,Physics,https://en.wikipedia.org/wiki/J%C3%BCrg_Fr%C3%B6hlich
Leon Festinger,1919.0,New York,Psychology,https://en.wikipedia.org/wiki/Leon_Festinger
Evan Tom Davies,1904.0,Wales,Psychology,https://en.wikipedia.org/wiki/Evan_Tom_Davies
Herbert Kroemer,1928.0,Germany,Electrical Engineering,https://en.wikipedia.org/wiki/Herbert_Kroemer
Michael O. Rabin,1931.0,Germany,Computer science,https://en.wikipedia.org/wiki/Michael_Oser_Rabin
William Hallowes Miller,1801.0,Carmarthenshire,Mineralogy,https://en.wikipedia.org/wiki/William_Hallowes_Miller
Ernest Vinberg,1937.0,Soviet Union,Mathematics,https://en.wikipedia.org/wiki/Ernest_Vinberg
Richard Taylor (mathematician),1962.0,England,Mathematics,https://en.wikipedia.org/wiki/Richard_Taylor_(mathematician)
Donald G. Saari,1940.0,Michigan,Celestial mechanics,https://en.wikipedia.org/wiki/Donald_Gene_Saari
Horst Meyer (physicist),1926.0,Prussia,Physics,https://en.wikipedia.org/wiki/Horst_Meyer_(physicist)
Robert Schatten,1911.0,Poland,Mathematics,https://en.wikipedia.org/wiki/Robert_Schatten
Abdullah Sadiq,1940.0,Pakistan,Condensed matter physics,https://en.wikipedia.org/wiki/Abdullah_Sadiq
Jean Giraud (mathematician),1936.0,Born(1936-02-02)2 February 1936,Mathematics,https://en.wikipedia.org/wiki/Jean_Giraud_(mathematician)
Igor Dolgachev,1936.0,Born(1936-02-02)2 February 1936,Mathematics,https://en.wikipedia.org/wiki/Igor_Dolgachev
Utpal Banerjee,1957.0,India,Molecular biologist,https://en.wikipedia.org/wiki/Utpal_Banerjee
Neil Wallace,1939.0,U.S.,Molecular biologist,https://en.wikipedia.org/wiki/Neil_Wallace
Ronald Jensen,1936.0,1936 (age 87),Mathematician,https://en.wikipedia.org/wiki/Ronald_Jensen
Stephen Whisson,1710.0,England,Mathematician,https://en.wikipedia.org/wiki/Stephen_Whisson
Fernando Codá Marques,1979.0,Brazil,Mathematics,https://en.wikipedia.org/wiki/Fernando_Cod%C3%A1_Marques
Christopher Skinner,1972.0,Arkansas,Mathematics,https://en.wikipedia.org/wiki/Christopher_Skinner
David Gross,1941.0,U.S.,Quantum field theory,https://en.wikipedia.org/wiki/David_J._Gross
Nicolai Reshetikhin,1958.0,Soviet Union,Mathematical physics,https://en.wikipedia.org/wiki/Nicolai_Reshetikhin
Dell Hymes,1927.0,Oregon,Mathematical physics,https://en.wikipedia.org/wiki/Dell_Hymes
George David Birkhoff,1884.0,Michigan,Mathematics,https://en.wikipedia.org/wiki/George_Birkhoff
Johannes Stark,1874.0,German Empire,Physics,https://en.wikipedia.org/wiki/Johannes_Stark
Edward Nelson,1932.0,Georgia,Physics,https://en.wikipedia.org/wiki/Edward_Nelson
John Dollard,1900.0,US,Psychology,https://en.wikipedia.org/wiki/John_Dollard
Ivan Sutherland,1938.0,United States,Computer science,https://en.wikipedia.org/wiki/Ivan_E._Sutherland
William Lawvere,1937.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/William_Lawvere
Franz Rosenzweig,1886.0,German Empire,Mathematics,https://en.wikipedia.org/wiki/Franz_Rosenzweig
Charles Edward Merriam,1874.0,US,Mathematics,https://en.wikipedia.org/wiki/Charles_Merriam
Joseph Lawson Hodges Jr.,1922.0,United States,Statistics,"https://en.wikipedia.org/wiki/Joseph_Lawson_Hodges,_Jr."
Charles Phelps Smyth,1895.0,United States,Chemistry,https://en.wikipedia.org/wiki/Charles_Phelps_Smyth
Assaf Naor,1975.0,Israel,Mathematics,https://en.wikipedia.org/wiki/Assaf_Naor
Donald Samuel Ornstein,1934.0,1934 (age 89),Mathematics,https://en.wikipedia.org/wiki/Donald_Samuel_Ornstein
David Parnas,1941.0,United States,Mathematics,https://en.wikipedia.org/wiki/David_Parnas
Laurence D. Barron,1944.0,England,Physical chemistry,https://en.wikipedia.org/wiki/Laurence_D._Barron
Bani K. Mallick,1944.0,England,Bayesian statistics,https://en.wikipedia.org/wiki/Bani_K._Mallick
Jerry Saltzer,1939.0,Idaho,Bayesian statistics,https://en.wikipedia.org/wiki/Jerome_H._Saltzer
Anthony Oettinger,1929.0,Germany,Bayesian statistics,https://en.wikipedia.org/wiki/Anthony_Oettinger
Zvi Galil,1947.0,Mandatory Palestine[2],Computer science,https://en.wikipedia.org/wiki/Zvi_Galil
Vladimir Drinfeld,1954.0,Soviet Union,Mathematics,https://en.wikipedia.org/wiki/Vladimir_Drinfeld
Boris Feigin,1953.0,Soviet Union,Mathematics,https://en.wikipedia.org/wiki/Boris_Feigin
Richard A. Andersen (chemist),1942.0,1942Oklahoma,Inorganic Chemistry,https://en.wikipedia.org/wiki/Richard_A._Andersen_(chemist)
Anatol Rapoport,1911.0,Russia (now Ukraine),Mathematical psychology,https://en.wikipedia.org/wiki/Anatol_Rapoport
Antoine César Becquerel,1788.0,France,Electricity,https://en.wikipedia.org/wiki/Antoine_C%C3%A9sar_Becquerel
Wang-Chiew Tan,1788.0,France,Computer Science,https://en.wikipedia.org/wiki/Wang-Chiew_Tan
Alvin Goldman,1938.0,Born1938,Computer Science,https://en.wikipedia.org/wiki/Alvin_Goldman
William James,1842.0,U.S.,Computer Science,https://en.wikipedia.org/wiki/William_James
M. Stanley Livingston,1905.0,Wisconsin,Physics,https://en.wikipedia.org/wiki/Milton_S._Livingston
Joseph French Johnson,1853.0,US,Physics,https://en.wikipedia.org/wiki/Joseph_French_Johnson
John Dashiell,1888.0,Indiana,Psychology,https://en.wikipedia.org/wiki/John_Dashiell
David Bradford (economist),1939.0,US,Psychology,https://en.wikipedia.org/wiki/David_Bradford_(economist)
C. Wright Mills,1916.0,U.S.,Psychology,https://en.wikipedia.org/wiki/C._Wright_Mills
Gerard Parkin,1916.0,U.S.,Chemistry,https://en.wikipedia.org/wiki/Gerard_Parkin
Sérgio Rebelo,1959.0,1959 (age 63)Portugal,Chemistry,https://en.wikipedia.org/wiki/S%C3%A9rgio_Rebelo
Jacob Lurie,1977.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Jacob_Lurie
Jeffrey Hoffstein,1953.0,1953 (age 69)New York City,Mathematics,https://en.wikipedia.org/wiki/Jeffrey_Hoffstein
M. Brian Maple,1939.0,California,Nanophysics,https://en.wikipedia.org/wiki/M._Brian_Maple
Ernesto Cesàro,1859.0,Kingdom of the Two Sicilies,Mathematics,https://en.wikipedia.org/wiki/Ernesto_Ces%C3%A0ro
William Gerard Dwyer,1947.0,US,Mathematics,https://en.wikipedia.org/wiki/William_Gerard_Dwyer
Vladimir Korepin,1951.0,1951 (age 72),Theoretical Physics,https://en.wikipedia.org/wiki/Vladimir_Korepin
Conrad Aiken,1889.0,United States,Theoretical Physics,https://en.wikipedia.org/wiki/Conrad_Aiken
Reuben Gronau,1937.0,Born1937 (age 85–86),Theoretical Physics,https://en.wikipedia.org/wiki/Reuben_Gronau
Michael Freedman,1951.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Michael_Freedman
Peter T. Wolczanski,1954.0,NY,Inorganic,https://en.wikipedia.org/wiki/Peter_T._Wolczanski
Amy Finkelstein,1973.0,1973 (age 49)New York City,Inorganic,https://en.wikipedia.org/wiki/Amy_Finkelstein
Marla Feller,,BornMarla Beth Feller,Inorganic,https://en.wikipedia.org/wiki/Marla_Feller
Hao Wang (academic),1921.0,China,Computer science,https://en.wikipedia.org/wiki/Hao_Wang_(academic)
Amy Prieto,,Colombia,Computer science,https://en.wikipedia.org/wiki/Amy_Prieto
Vyacheslav Stepanov,1889.0,1889Smolensk,Mathematician,https://en.wikipedia.org/wiki/Vyacheslav_Stepanov
C. V. Raman,1888.0,India),Physics,https://en.wikipedia.org/wiki/CV_Raman
Hugo Rossi,1888.0,India),Mathematics,https://en.wikipedia.org/wiki/Hugo_Rossi
J. David Velleman,1952.0,Born1952,Mathematics,https://en.wikipedia.org/wiki/J._David_Velleman
Grace Chisholm Young,1868.0,England,Mathematics,https://en.wikipedia.org/wiki/Grace_Chisholm_Young
Hiranya Peiris,1974.0,BornHiranya Vajramani Peiris1974 (age 48–49)Sri Lanka,Physics,https://en.wikipedia.org/wiki/Hiranya_Peiris
Gerald Folland,1947.0,US,Mathematics,https://en.wikipedia.org/wiki/Gerald_Folland
Alberto Alesina,1957.0,Italy,Mathematics,https://en.wikipedia.org/wiki/Alberto_Alesina
George Frederick James Temple,1901.0,Born(1901-09-02)2 September 1901,Mathematics,https://en.wikipedia.org/wiki/George_Frederick_James_Temple
Yang Chen-Ning,1922.0,Republic of China,Statistical mechanics,https://en.wikipedia.org/wiki/Yang_Chen-Ning
Richard Garfield,1963.0,U.S.,Statistical mechanics,https://en.wikipedia.org/wiki/Richard_Garfield
Andrew Abel,1952.0,1952 (age 70),Statistical mechanics,https://en.wikipedia.org/wiki/Andrew_Abel
Randy Read,1957.0,BornRandy John Read (1957-06-09) 9 June 1957 (age 66)[4],Protein crystallography,https://en.wikipedia.org/wiki/Randy_Read
Ian Munro (computer scientist),1947.0,1947 (age 76),Computer Science,https://en.wikipedia.org/wiki/Ian_Munro_(computer_scientist)
Ulrich Schöllkopf,1927.0,Germany,Computer Science,https://en.wikipedia.org/wiki/Ulrich_Sch%C3%B6llkopf
Alfred Aeppli,1894.0,Switzerland,Probability theory,https://en.wikipedia.org/wiki/Alfred_Aeppli
John P. Costas (engineer),1923.0,Indiana,Electrical Engineering,https://en.wikipedia.org/wiki/John_P._Costas_(engineer)
Timur Kuran,1954.0,U.S.,Electrical Engineering,https://en.wikipedia.org/wiki/Timur_Kuran
Jean-Pierre Kahane,1926.0,Born(1926-12-11)11 December 1926Paris,Mathematics,https://en.wikipedia.org/wiki/Jean-Pierre_Kahane
Mario Baldassarri,1946.0,Born (1946-09-10) 10 September 1946 (age 77)Macerata,Mathematics,https://en.wikipedia.org/wiki/Mario_Baldassarri
William H. Welch,1850.0,Connecticut,Mathematics,https://en.wikipedia.org/wiki/William_H._Welch
W. E. B. Du Bois,1868.0,U.S.,Civil rights,https://en.wikipedia.org/wiki/W._E._B._Du_Bois
Richard Rogerson,1868.0,U.S.,Civil rights,https://en.wikipedia.org/wiki/Richard_Rogerson
Malcolm Dole,1903.0,Massachusetts,Physical chemistry,https://en.wikipedia.org/wiki/Malcolm_Dole
Gerhard Kowalewski,1876.0,German Empire,Mathematics,https://en.wikipedia.org/wiki/Gerhard_Kowalewski
Martin Weitzman,1942.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Martin_Weitzman
Charles F. Roos,1901.0,Louisiana,Mathematics,https://en.wikipedia.org/wiki/Charles_F._Roos
Gustav Cassel,1866.0,Born(1866-10-20)20 October 1866Stockholm,Mathematics,https://en.wikipedia.org/wiki/Gustav_Cassel
Joseph Jukes,1811.0,England,Geology,https://en.wikipedia.org/wiki/Joseph_Jukes
Nancy Rose,1811.0,England,Geology,https://en.wikipedia.org/wiki/Nancy_Rose
Mark S. Wrighton,1949.0,U.S.,Inorganic photochemistry,https://en.wikipedia.org/wiki/Mark_Wrighton
Hans Kramers,1894.0,Netherlands,Physics,https://en.wikipedia.org/wiki/Hendrik_Anthony_Kramers
Shridhar Ramachandra Gadre,1950.0,Maharashtra,Chemistry,https://en.wikipedia.org/wiki/Shridhar_Ramachandra_Gadre
Mark Kac,1914.0,Russian Empire (now Ukraine),Mathematics,https://en.wikipedia.org/wiki/Mark_Kac
Sendhil Mullainathan,1973.0,India,Economics,https://en.wikipedia.org/wiki/Sendhil_Mullainathan
Charles Fabry,1867.0,France,Economics,https://en.wikipedia.org/wiki/Charles_Fabry
Nikolai Menshutkin,1842.0,Russian Empire,Chemistry,https://en.wikipedia.org/wiki/Nikolai_Menshutkin
David Sankoff,1942.0,Canada,Genomics,https://en.wikipedia.org/wiki/David_Sankoff
Gregory L. Hillhouse,1955.0,South Carolina,Genomics,https://en.wikipedia.org/wiki/Gregory_L._Hillhouse
Izabella Łaba,1966.0,Born1966,Mathematics,https://en.wikipedia.org/wiki/Izabella_%C5%81aba
Richard Abegg,1869.0,Poland),Chemist,https://en.wikipedia.org/wiki/Richard_Abegg
Mitchell Feigenbaum,1944.0,US,Mathematical physics,https://en.wikipedia.org/wiki/Mitchell_Feigenbaum
David Masser,1948.0,United Kingdom,Mathematics,https://en.wikipedia.org/wiki/David_Masser
Grigore Moisil,1906.0,Kingdom of Romania,Mathematics,https://en.wikipedia.org/wiki/Grigore_Moisil
Otto Schmidt,1891.0,Russian Empire(now Belarus),Mathematics,https://en.wikipedia.org/wiki/Otto_Schmidt
Friedrich Kohlrausch (physicist),1840.0,Born(1840-10-14)14 October 1840Rinteln,Physicist,https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Georg_Kohlrausch
Igor Golovin,1913.0,Born(1913-03-12)12 March 1913Moscow,Physics,https://en.wikipedia.org/wiki/Igor_Golovin
Petrus Ryff,1552.0,Swiss Confederacy,Medicine,https://en.wikipedia.org/wiki/Petrus_Ryff
Buz M. Walker,1863.0,Mississippi,Medicine,https://en.wikipedia.org/wiki/Buz_M._Walker
Vitaly Ginzburg,1916.0,Russian Empire,Theoretical physics,https://en.wikipedia.org/wiki/Vitaly_Ginzburg
Hermann A. Haus,1925.0,Kingdom of Yugoslavia,Optical communications,https://en.wikipedia.org/wiki/Hermann_A._Haus
Peter J. Huber,1934.0,Aargau,Statistics,https://en.wikipedia.org/wiki/Peter_J._Huber
Edward Thorndike,1874.0,U.S.,Statistics,https://en.wikipedia.org/wiki/Edward_Thorndike
Karl Mahlburg,1874.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Karl_Mahlburg
Richard Waldinger,1874.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Richard_Waldinger
Donald A. Dawson,1937.0,1937 (age 86),Mathematics,https://en.wikipedia.org/wiki/Donald_A._Dawson
Athanassios S. Fokas,1952.0,Greece,Mathematics,https://en.wikipedia.org/wiki/Athanassios_S._Fokas
Zhang Wenyu,1910.0,Qing China,Particle physics,https://en.wikipedia.org/wiki/Zhang_Wenyu
Charles Carpenter Fries,1887.0,U.S.,Particle physics,https://en.wikipedia.org/wiki/Charles_C._Fries
Morris Swadesh,1909.0,U.S.,Particle physics,https://en.wikipedia.org/wiki/Morris_Swadesh
Irving Lorge,1905.0,US,Psychometrics,https://en.wikipedia.org/wiki/Irving_Lorge
George W. Whitehead,1918.0,US,Mathematics,"https://en.wikipedia.org/wiki/George_Whitehead,_Jr."
Shokichi Iyanaga,1906.0,Japan,Mathematics,https://en.wikipedia.org/wiki/Shokichi_Iyanaga
Mario Wschebor,1939.0,BornMario Wschebor Wonsever3 December 1939Uruguay,Mathematics,https://en.wikipedia.org/wiki/Mario_Wschebor
Tim Besley,1960.0,England,Mathematics,https://en.wikipedia.org/wiki/Tim_Besley
Arlie Petters,1964.0,British Honduras),Mathematics,https://en.wikipedia.org/wiki/Arlie_Petters
Jean-Louis Verdier,1935.0,Born(1935-02-02)2 February 1935,Mathematics,https://en.wikipedia.org/wiki/Jean-Louis_Verdier
Renfrey Potts,1925.0,South Australia,Mathematician,https://en.wikipedia.org/wiki/Renfrey_Potts
Lawrence Summers,1954.0,U.S.,Mathematician,https://en.wikipedia.org/wiki/Larry_Summers
Daniel G. Nocera,1957.0,Massachusetts,Chemistry,https://en.wikipedia.org/wiki/Daniel_G._Nocera
Colm Mulcahy,1957.0,Massachusetts,Chemistry,https://en.wikipedia.org/wiki/Colm_Mulcahy
Willard Libby,1908.0,U.S.,Radioactivity,https://en.wikipedia.org/wiki/Willard_F._Libby
Gheorghe Țițeica,1873.0,Romania,Mathematics,https://en.wikipedia.org/wiki/Gheorghe_%C8%9Ai%C8%9Beica
Mikhail Postnikov,1927.0,Soviet Union,Mathematics,https://en.wikipedia.org/wiki/Mikhail_Postnikov
Tom Blundell,1942.0,UK,Structural biology,https://en.wikipedia.org/wiki/Tom_Blundell
K. G. Ramanathan,1920.0,British India,Number theory,https://en.wikipedia.org/wiki/K._G._Ramanathan
Osmo Pekonen,1960.0,Finland,Mathematics,https://en.wikipedia.org/wiki/Osmo_Pekonen
G. W. Pierce,1872.0,Texas,Physics,https://en.wikipedia.org/wiki/G._W._Pierce
Peter Ludlow,1957.0,1957 (age 66),Physics,https://en.wikipedia.org/wiki/Peter_Ludlow
Othmar Spann,1878.0,Austria-Hungary,Physics,https://en.wikipedia.org/wiki/Othmar_Spann
Xi Yin,1984.0,China,Theoretical Physics,https://en.wikipedia.org/wiki/Xi_Yin
Raquel Urtasun,,Spain,"Machine Learning, Computer Vision, Robotics, AI and Remote Sensing",https://en.wikipedia.org/wiki/Raquel_Urtasun
Bernard Malgrange,1928.0,Born (1928-07-06) 6 July 1928 (age 95)Paris,Mathematics,https://en.wikipedia.org/wiki/Bernard_Malgrange
Botond Kőszegi,1928.0,Born (1928-07-06) 6 July 1928 (age 95)Paris,Mathematics,https://en.wikipedia.org/wiki/Botond_K%C5%91szegi
Yoshua Bengio,1964.0,France,Machine learning,https://en.wikipedia.org/wiki/Yoshua_Bengio
Lewis Henry Haney,1882.0,US,Machine learning,https://en.wikipedia.org/wiki/Lewis_Henry_Haney
Viktor Trkal,1888.0,Austria-Hungary,Physics,https://en.wikipedia.org/wiki/Viktor_Trkal
Franklin C. Crow,1888.0,Austria-Hungary,Physics,https://en.wikipedia.org/wiki/Franklin_C._Crow
Ernst Cohen,1869.0,Netherlands,Chemistry,https://en.wikipedia.org/wiki/Ernst_Cohen
Walter Dearborn,1878.0,Massachusetts,Chemistry,https://en.wikipedia.org/wiki/Walter_Dearborn
John Coleman Moore,1923.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/John_Coleman_Moore
Roberto Conti (mathematician),1923.0,Italy,Mathematics,https://en.wikipedia.org/wiki/Roberto_Conti_(mathematician)
Philip Handler,1917.0,1917New York City,Biochemistry,https://en.wikipedia.org/wiki/Philip_Handler
Nina Uraltseva,,BornNina Nikolaevna Uraltseva,Biochemistry,https://en.wikipedia.org/wiki/Nina_Uraltseva
Kunihiko Kodaira,1915.0,Japan,Mathematics,https://en.wikipedia.org/wiki/Kunihiko_Kodaira
George Uhlenbeck,1900.0,Dutch East Indies (now Jakarta),Physicist,https://en.wikipedia.org/wiki/George_Uhlenbeck
Tadashi Tokieda,1968.0,Japan,Mathematics,https://en.wikipedia.org/wiki/Tadashi_Tokieda
Werner G. Krebs,1977.0,Bornc. 1977,Mathematics,https://en.wikipedia.org/wiki/Werner_G._Krebs
Peter Diamond,1940.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Peter_Diamond
Jeffrey Liebman,1967.0,Born1967 (age 55–56),Mathematics,https://en.wikipedia.org/wiki/Jeffrey_Liebman
Felix Klein,1849.0,Germany,Mathematics,https://en.wikipedia.org/wiki/C._Felix_Klein
Théophile Lepage,1901.0,Born(1901-03-24)24 March 1901Limburg,Mathematics,https://en.wikipedia.org/wiki/Th%C3%A9ophile_Lepage
Susan Dynarski,,U.S.,Economics,https://en.wikipedia.org/wiki/Susan_Dynarski
Mário Centeno,1966.0,Portugal,Economics,https://en.wikipedia.org/wiki/M%C3%A1rio_Centeno
William O. Baker,1915.0,Maryland,Economics,https://en.wikipedia.org/wiki/William_O._Baker
Wang Yuan (mathematician),1930.0,China,Mathematics,https://en.wikipedia.org/wiki/Wang_Yuan_(mathematician)
Phillip D. Cagan,1927.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Phillip_Cagan
Wacław Sierpiński,1882.0,Russian Empire,Mathematics,https://en.wikipedia.org/wiki/Wac%C5%82aw_Sierpi%C5%84ski
Timothy M. Swager,1961.0,1961 (age 62)Sheridan Montana,Chemistry,https://en.wikipedia.org/wiki/Timothy_M._Swager
Jacques-Louis Lions,1928.0,France,Mathematics,https://en.wikipedia.org/wiki/Jacques-Louis_Lions
Erwin Schrödinger,1887.0,Austria-Hungary,Physics,https://en.wikipedia.org/wiki/Erwin_Schr%C3%B6dinger
Karl Ziegler,1898.0,German Empire,Organic chemistry,https://en.wikipedia.org/wiki/Karl_Ziegler
Nazir Ahmed (physicist),1898.0,Pakistan),Experimental Physics,https://en.wikipedia.org/wiki/Nazir_Ahmed_(physicist)
Ana Caraiani,1985.0,Romania,Mathematics,https://en.wikipedia.org/wiki/Ana_Caraiani
Nathan Dunfield,1975.0,Michigan,geometric group theory,https://en.wikipedia.org/wiki/Nathan_Dunfield
Friedrich Bopp,1909.0,German Empire,Theoretical physics,https://en.wikipedia.org/wiki/Fritz_Bopp
Milton Van Dyke,1922.0,U.S.,Fluid dynamics,https://en.wikipedia.org/wiki/Milton_Van_Dyke
Gertrude Stein,1874.0,U.S.,Fluid dynamics,https://en.wikipedia.org/wiki/Gertrude_Stein
Timothy Browning,1976.0,England,Mathematics,https://en.wikipedia.org/wiki/Timothy_Browning
Robert M. Townsend,1948.0,U.S.,Economics,https://en.wikipedia.org/wiki/Robert_M._Townsend
Martin Hellwig,1949.0,Born (1949-04-05) 5 April 1949 (age 74)Düsseldorf,Economics,https://en.wikipedia.org/wiki/Martin_Hellwig
Judith Howard,1945.0,United Kingdom,Chemistry,https://en.wikipedia.org/wiki/Judith_Howard
Katsumi Nomizu,1924.0,Japan,Mathematics,https://en.wikipedia.org/wiki/Katsumi_Nomizu
Ján Mináč,1953.0,Born (1953-06-15) 15 June 1953 (age 70),Mathematics,https://en.wikipedia.org/wiki/J%C3%A1n_Min%C3%A1%C4%8D
Daniel Wolpert,1963.0,Born (1963-09-08) 8 September 1963 (age 60)England,Neuroscience,https://en.wikipedia.org/wiki/Daniel_Wolpert
Latanya Sweeney,1963.0,Born (1963-09-08) 8 September 1963 (age 60)England,Computer Scientist,https://en.wikipedia.org/wiki/Latanya_Sweeney
